REGION VI (WESTERN VISAYAS),60000000
REGION IV-B (MIMAROPA),170000000
REGION IX (ZAMBOANGA PENINSULA),90000000
REGION IV-A (CALABARZON),40000000
REGION XII (SOCCSKSARGEN),120000000
REGION XIII (Caraga),160000000
REGION XI (DAVAO REGION),110000000
REGION VIII (EASTERN VISAYAS),80000000
REGION V (BICOL REGION),50000000
CORDILLERA ADMINISTRATIVE REGION (CAR),140000000
REGION X (NORTHERN MINDANAO),100000000
NATIONAL CAPITAL REGION (NCR),130000000
REGION III (CENTRAL LUZON),30000000
REGION VII (CENTRAL VISAYAS),70000000
AUTONOMOUS REGION IN MUSLIM MINDANAO ,150000000
REGION II (CAGAYAN VALLEY),20000000
REGION I (ILOCOS REGION),10000000
